,MMS ID,Barcode,title,Author,Call Number,Permanent Location,Material Type,Process type,Description,Orders,Requests,Modification Date,Due Date
316,9913536373606241,33082010951795,"Vacas [videorecording] / Tanelorn Films presents a Sociedad General de Televisión (Sogetel) ; producers, Fernando de Garcillán y José Luis Olaizola ; written by Michel Gaztambide & Julio Medém ; directed by Julio Medém.",Visual material By Garcillán Fernando,PN1997.25 .V25 2011,DVDs,Other,Lost,,,,20-Dec-20,30-Nov
317,9910717713606241,33082010795523,"The secret art of the performer : a dictionary of theatre anthropology / Eugenio Barba, Nicola Savarese ; translated by Richard Fowler.",arba Eugenio,PN2041.A57 A5313 2005,Oversize Books,Book,Lost,,,,03-Jan-21,14-Dec
318,9925967243606241,33082012590922,Political dramaturgies and theatre spectatorship : provocations for change / Liz Tomlin.,Tomlin Liz,PN2049 .T62 2019,Books,Book,Lost,,,,22-Nov-20,01-Oct
319,99378123606241,33082005936934,Acting without agony : an alternative to the Method / Don Richardson ; with a foreword by Helen Hayes.,Richardson Don,PN2061 .R48 1994,Books,Book,Lost,,,,07-Nov-20,16-Sep
320,9912519233606241,33082010874971,The great acting teachers and their methods / by Richard Brestoff ; illustrations by Deborah Stevenson.,restoff Richard,PN2075 .B674 1995,Books,Book,Lost,v. 2,,,21-Nov-20,01-Oct
321,9912519233606241,33082011060505,The great acting teachers and their methods / by Richard Brestoff ; illustrations by Deborah Stevenson.,restoff Richard,PN2075 .B674 1995,Books,Book,Lost,v. 1,,,21-Nov-20,01-Oct
322,9922762023606241,33082012447156,Latinx theater in the times of neoliberalism / Patricia A. Ybarra.,Ybarra Patricia A,PN2270.H57 Y37 2018,Books,Book,Lost,,,,22-Nov-20,01-Oct
323,9924900193606241,33082012545991,Describing the unobserved and other essays : unspeakable sentences after unspeakable sentences / by Ann Banfield ; edited with introduction and notes by Sylvie Patron.,anfield Ann,PN3383.F74 B36 2019,Books,Book,Lost,,,,23-Jun-20,30-Jul
324,992688013606241,33082004775747,The Romance of Merlin ; an anthology / edited by Peter Goodrich.,Goodrich Peter,PN6071.M46 R66 1990,Books,Book,Lost,,,,21-Dec-20,02-Jan
325,998785403606241,33082009951137,Crosscurrents : transatlantic perspectives on early modern Hispanic drama / edited by Mindy Badía and Bonnie L. Gasior.,adía Mindy,PQ7082.D7 C76 2006,Books,Book,Lost,,,,21-Nov-20,01-Oct
326,994452663606241,33082006565799,Sultry moon / by Mempo Giardinelli ; translated from the Spanish by Patricia J. Duncan.,Giardinelli Mempo,PQ7798.17.I277 L8613 1998,Books,Book,Lost,,,,21-Dec-20,10-Jan
327,994517733606241,33082006620115,"Fallenness in Victorian women's writing : marry, stitch, die, or do worse / Deborah Anna Logan.",Logan Deborah Anna,PR115 .L64 1998,Books,Book,Lost,,,,22-Nov-20,01-Oct
328,995899713606241,33082007543217,A study of Merlin in English literature from the Middle Ages to the present day / Christopher Dean.,Dean Christopher,PR408.M47 D4 1992,Books,Book,Lost,,,,21-Dec-20,02-Jan
329,9922922053606241,33082012281282,"A midsummer night's dream : an authoritative text, sources, criticism, adaptations / William Shakespeare ; edited by Grace Ioppolo.",Shakespeare William,PR2827.A2 I6 2018,Books,Book,Lost,,,,08-Nov-20,16-Sep
330,994211853606241,33082004728076,"Shakespearean tragedy; Hamlet, Othello, King Lear, Macbeth.",radley A C,PR2983 .B7 1967,Books,Book,Lost,,,,21-Dec-20,29-Jul
331,992646093606241,33082001199966,"Selected letters, 1796-1817 / Jane Austen ; edited by R.W. Chapman ; with an introduction by Marilyn Butler.",Austen Jane,PR4036 .A4 1985,Books,Book,Lost,,,,21-Dec-20,19-Mar
332,991727963606241,33082003788840,"Jane Austen and her times, by G. E. Mitton. With twenty-one illustrations.",tton G E,PR4036 .M5,Books,Book,Lost,,,,21-Dec-20,19-Mar
333,991589243606241,33082000937630,"Jane Austen, feminism and fiction / Margaret Kirkham.",Kirkham Margaret,PR4038.F44 K57 1983,Books,Book,Lost,,,,08-Nov-20,16-Sep
334,993517163606241,33082004952577,"Alice's adventures in Wonderland and Through the looking glass : nonsense, sense, and meaning / Donald Rackin.",Rackin Donald,PR4611.A73 R34 1991,Books,Book,Lost,,,,08-Nov-20,16-Sep
335,991060253606241,33082006193949,"Murdering to dissect : grave-robbing, Frankenstein and the anatomy literature / Tim Marshall.",arshall Tim,PR5397.F73 M35 1995,Books,Book,Lost,,,,21-Nov-20,01-Oct
336,994465533606241,33082005262984,Rebecca / Daphne du Maurier.,Du Maurier Daphne,PR6007.U47 R43 1993,Books,Book,Lost,,,,08-Nov-20,16-Sep
337,994300103606241,33082006493000,"Howards End : authoritative text, textual appendix, backgrounds and contexts, criticism / E.M. Forster ; edited by Paul B. Armstrong.",Forster E M,PR6011.O58 H6 1998,Books,Book,Lost,,,,08-Nov-20,16-Sep
338,991654763606241,33082000952514,Selected plays of Lennox Robinson / chosen and with an introduction by Christopher Murray.,Robinson Lennox,PR6035.O56 A6 1982,Books,Book,Lost,,,,08-Nov-20,16-Sep
339,9914661263606241,33082011484374,"The hobbit, or, There and back again / J.R.R. Tolkien.",Tolkien J R R,PR6039.O32 H6 2012,Books,Book,Lost,,,,08-Nov-20,16-Sep
340,993252493606241,33082001398857,The handmaid's tale / Margaret Atwood.,Atwood Margaret,PR9199.3.A8 H3 1986,Books,Book,Lost,,,,14-Dec-20,24-Nov
341,9910252683606241,33082010309580,"Things fall apart : authoritative text, contexts and criticism / Chinua Achebe ; edited by Francis Abiola Irele.",Achebe Chinua,PR9387.9.A3 T5 2009,Books,Book,Lost,,,,29-Dec-20,09-Dec
342,9917745643606241,33082011915344,Apocalyptic sentimentalism : love and fear in U.S. antebellum literature / Kevin Pelletier.,Pelletier Kevin,PS217.S55 P45 2015,Books,Book,Lost,,,,06-Dec-20,10-Nov
